anon_subj_idx,trial,epoch_trial,epoch_number,epoch_trial_run,cpp,B,reward_code,lambda,run_n
1,4,2.0,8.0,2.0,0.0964182822024257,1.8946025475894657,0,10.0,2
1,5,3.0,8.0,3.0,0.0539261176830479,2.4457766535117527,0,10.0,2
1,6,4.0,8.0,4.0,0.5684948563549931,2.491597685428562,0,10.0,2
1,7,5.0,8.0,5.0,0.084645873159372,-0.1335929019349999,0,10.0,2
1,8,6.0,8.0,6.0,0.1016899995940954,0.6343696384267946,0,10.0,2
1,9,7.0,8.0,7.0,0.0835059118636328,1.2151218548320528,0,10.0,2
1,10,8.0,8.0,8.0,0.0535927869325547,1.6250955931014162,0,10.0,2
1,11,9.0,8.0,9.0,0.2690769808925098,1.6970094857347957,0,10.0,2
1,12,10.0,8.0,10.0,0.0653831134745495,0.3999692981640075,0,10.0,2
1,13,-3.0,8.0,-3.0,0.0548859088399625,0.6783446709023105,0,10.0,2
1,14,-2.0,8.0,-2.0,0.1298279743572955,0.7767572876559816,0,10.0,2
1,15,-1.0,8.0,-1.0,0.0745146190914428,0.0668737737098285,0,10.0,2
1,16,0.0,9.0,0.0,0.7381251934132447,0.3950795885926293,0,10.0,2
1,17,1.0,9.0,1.0,0.1075511406145606,-2.0109925946914498,0,10.0,2
1,18,2.0,9.0,2.0,0.5295523429249313,-0.6886496573316374,0,10.0,2
1,19,3.0,9.0,3.0,0.178277022680775,1.0981234178316857,0,10.0,2
1,20,4.0,9.0,4.0,0.0732498466231508,2.6088231635336183,0,10.0,2
1,21,5.0,9.0,5.0,0.0567094322842019,2.9342235505274554,0,10.0,2
1,22,-3.0,9.0,-3.0,0.7454167001340909,3.0129386829204927,0,10.0,2
1,23,-2.0,9.0,-2.0,0.1116772263069652,-0.5844538836618753,0,10.0,2
1,24,-1.0,9.0,-1.0,0.1303476678023913,0.5604288628558438,0,10.0,2
1,25,0.0,10.0,0.0,0.0859468336004144,0.365501030945597,0,10.0,2
1,26,1.0,10.0,1.0,0.0658937120786377,-0.2375916656072127,0,10.0,2
1,27,2.0,10.0,2.0,0.2246705331529045,-0.5062049538708836,0,10.0,2
1,28,3.0,10.0,3.0,0.0895558561721626,0.4049218912690844,0,10.0,2
1,29,4.0,10.0,4.0,0.0602842929880159,1.0631143787988748,0,10.0,2
1,30,5.0,10.0,5.0,0.1293059758897988,1.3055885289187024,0,10.0,2
1,31,6.0,10.0,6.0,0.5235941864067636,0.5172102758524357,0,10.0,2
1,32,7.0,10.0,7.0,0.082471947676273,2.108641263234892,0,10.0,2
1,33,8.0,10.0,8.0,0.0551600771043491,2.6529358879719003,0,10.0,2
1,34,9.0,10.0,9.0,0.5323295050318397,2.5344861712425915,0,10.0,2
1,35,-3.0,10.0,-3.0,0.0819140888776271,-0.0311249994167392,0,10.0,2
1,36,-2.0,10.0,-2.0,0.073147122577524,0.6742177936697757,0,10.0,2
1,37,-1.0,10.0,-1.0,0.057221545010997,0.1386943990601021,0,10.0,2
1,38,0.0,11.0,0.0,0.0522644239027288,0.1236583051161097,0,10.0,2
1,39,1.0,11.0,1.0,0.0500992914723654,0.286641175717221,0,10.0,2
1,40,2.0,11.0,2.0,0.0489812177462078,0.4032223361347131,0,10.0,2
1,41,3.0,11.0,3.0,0.04834792131342,0.4940267030209246,0,10.0,2
1,42,4.0,11.0,4.0,0.0479690361101447,0.568664612633203,0,10.0,2
1,43,5.0,11.0,5.0,0.3844636979147663,0.6322343367478609,0,10.0,2
1,44,6.0,11.0,6.0,0.2891486809878453,-0.3156113436800842,0,10.0,2
1,45,-3.0,11.0,-3.0,0.4148285341826662,1.7283654098873111,0,10.0,2
1,46,-2.0,11.0,-2.0,0.0754026863899071,-0.5214577847172948,0,10.0,2
1,47,-1.0,11.0,-1.0,0.0561549685718655,-1.0682294517284685,0,10.0,2
1,48,0.0,12.0,0.0,0.0783128163544036,1.2230765413367124,0,10.0,2
1,49,1.0,12.0,1.0,0.888378120217752,1.5213146108436613,0,10.0,2
1,50,2.0,12.0,2.0,0.0943511487439981,3.9095393116054,0,10.0,2
1,51,3.0,12.0,3.0,0.987504322007746,4.4502162416532105,0,10.0,2
1,52,4.0,12.0,4.0,0.3314245918780725,-1.4505138440151448,0,10.0,2
1,53,-3.0,12.0,-3.0,0.4488152021606086,-2.953782090968072,0,10.0,2
1,54,-2.0,12.0,-2.0,0.0694872187459101,0.3427953606495966,0,10.0,2
1,55,-1.0,12.0,-1.0,0.208044805349184,0.6176064133408157,0,10.0,2
1,56,0.0,13.0,0.0,0.0777340429893991,-1.4624773454949804,0,10.0,2
1,57,-3.0,13.0,-3.0,0.2933930734330309,-1.9194253281219005,0,10.0,2
1,58,-2.0,13.0,-2.0,0.0819401722086242,-0.3190325842231296,0,10.0,2
1,59,-1.0,13.0,-1.0,0.0578511602367722,0.3793673681120937,0,10.0,2
1,0,2.0,15.0,2.0,0.0683933042287409,0.0,0,10.0,3
1,1,-3.0,15.0,-3.0,0.0604147120835585,0.1025899563431114,0,10.0,3
1,2,-2.0,15.0,-2.0,0.4552866837702775,0.1870140817933154,0,10.0,3
1,3,-1.0,15.0,-1.0,0.1169680153351257,-0.8515879461928877,0,10.0,3
1,4,0.0,16.0,0.0,0.3484266490945063,1.7770915092708806,0,10.0,3
1,5,1.0,16.0,1.0,0.5328357787807326,-0.0690420436645093,0,10.0,3
1,6,2.0,16.0,2.0,0.1030395929487653,2.399436450525116,0,10.0,3
1,7,3.0,16.0,3.0,0.1429173929478907,2.991950721707761,0,10.0,3
1,8,-3.0,16.0,-3.0,0.3632257929025036,2.008679718798253,0,10.0,3
1,9,-2.0,16.0,-2.0,0.0768812640176018,0.0922143958503719,0,10.0,3
1,10,-1.0,16.0,-1.0,0.0845080724046143,0.3835102982013481,0,10.0,3
1,11,0.0,17.0,0.0,0.1628218405800811,-0.7837526915191044,0,10.0,3
1,12,-3.0,17.0,-3.0,0.9344520623159408,0.0655401930217809,0,10.0,3
1,13,-2.0,17.0,-2.0,0.0847835040218301,-3.5944944440668767,0,10.0,3
1,14,-1.0,17.0,-1.0,0.9864191076312624,-2.777296159285448,0,10.0,3
1,15,0.0,18.0,0.0,0.1143650941511365,-1.4667402378469536,0,10.0,3
1,16,1.0,18.0,1.0,0.3825555130381117,-0.4263212086130048,0,10.0,3
1,17,2.0,18.0,2.0,0.1568036975107625,0.9204875651305048,0,10.0,3
1,18,3.0,18.0,3.0,0.065851302155294,-0.385716055139014,0,10.0,3
1,19,4.0,18.0,4.0,0.0696482403450615,-0.5603450524078921,0,10.0,3
1,20,5.0,18.0,5.0,0.1224325015429528,-0.2391482467152066,0,10.0,3
1,21,6.0,18.0,6.0,0.2443566474603328,0.4089509064520945,0,10.0,3
1,22,7.0,18.0,7.0,0.0903292640643736,1.2256106430825366,0,10.0,3
1,23,8.0,18.0,8.0,0.0661794187637462,1.7305170472916664,0,10.0,3
1,24,-3.0,18.0,-3.0,0.0685393243749478,1.8924295492304668,0,10.0,3
1,25,-2.0,18.0,-2.0,0.1127151614577247,2.0505794668809223,0,10.0,3
1,26,-1.0,18.0,-1.0,0.5512862580336546,2.415349175400753,0,10.0,3
1,27,0.0,19.0,0.0,0.1428693991104095,0.1554984070943195,0,10.0,3
1,28,1.0,19.0,1.0,0.0833452851798548,1.3703034223757942,0,10.0,3
