anon_subj_idx,acc,rt,trial,epoch_number,epoch_trial,epoch_trial_run,reward_code,lambda,opt_choice_prob,id_choice,id_solution,LR_choice,LR_solution,change_point
1,0.0,0.6209721565246582,45,3.0,6.0,6.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.4698500633239745,46,3.0,7.0,7.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.4910171031951904,47,3.0,-3.0,-3.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,0.0,0.5637450218200685,48,3.0,-2.0,-2.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.6522932052612305,49,3.0,-1.0,-1.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,1.0,0.5939269065856932,50,4.0,0.0,0.0,0,10.0,0.65,102.0,102.0,82.0,82.0,1.0
1,1.0,0.6462810039520264,51,4.0,1.0,1.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.5289609432220458,52,4.0,2.0,2.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.6375629901885985,53,4.0,3.0,3.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.5794150829315186,54,4.0,4.0,4.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.5591118335723877,55,4.0,5.0,5.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.7428541183471679,56,4.0,6.0,6.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.7059948444366455,57,4.0,-3.0,-3.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.7061159610748291,58,4.0,-2.0,-2.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.6860649585723877,59,4.0,-1.0,-1.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.2961089611053467,0,7.0,-2.0,-2.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.5327219963073729,1,7.0,-1.0,-1.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.5248889923095704,2,8.0,0.0,0.0,0,10.0,0.65,102.0,102.0,76.0,76.0,1.0
1,0.0,0.6834630966186523,3,8.0,1.0,1.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.5078549385070801,4,8.0,2.0,2.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,0.0,0.5695421695709229,5,8.0,3.0,3.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.5760359764099121,6,8.0,4.0,4.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,1.0,0.6733272075653076,7,8.0,5.0,5.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.5915420055389404,8,8.0,6.0,6.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
